Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
20-Mar-15,113.57,"$1,183.10",95.9725,113.5451,113.497,$113.55,0.05%,8030798,23933240.2,744.4,2.83E+10
23-Mar-15,114.29,"$1,186.25",95.96943,113.8437,114.156,$114.27,0.10%,4297098,23933240.2,744.4,2.84E+10
24-Mar-15,114.57,"$1,191.50",95.96852,114.3465,114.514,$114.56,0.04%,2972996,23933240.2,744.4,2.85E+10
25-Mar-15,114.73,"$1,195.60",95.96759,114.7388,114.71,$114.75,0.03%,3019777,23894853.16,743.21,2.86E+10
26-Mar-15,115.48,"$1,203.15",95.96675,115.4624,115.621,$115.49,-0.11%,5492671,23702919.66,737.24,2.85E+10
27-Mar-15,115.06,"$1,195.75",95.96548,114.7507,115.043,$115.04,0.00%,4922482,23702919.66,737.24,2.83E+10
30-Mar-15,113.75,"$1,185.50",95.96199,113.7629,113.734,$113.77,0.03%,3667931,23702919.66,737.24,2.81E+10
31-Mar-15,113.66,"$1,187.00",95.96099,113.9057,113.618,$113.67,0.05%,3663183,23702919.66,737.24,2.81E+10
1-Apr-15,115.6,"$1,197.00",95.96028,114.8645,115.56,$115.59,0.03%,7565981,23702919.66,737.24,2.84E+10
2-Apr-15,115.28,"$1,198.50",95.95928,115.0072,115.314,$115.28,-0.03%,7487100,23702919.66,737.24,2.84E+10
3-Apr-15,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
6-Apr-15,116.69,"$1,198.50",95.95507,115.0022,116.681,$116.67,-0.01%,5913203,23645346.62,735.45,2.83E+10
7-Apr-15,116.11,"$1,211.00",95.95451,116.2009,116.143,$116.14,0.00%,2467494,23568583.01,733.06,2.85E+10
